fake account name,URL of real websites,twitter of real website,Frequency
Atlanta_Online,on-ajc.com,ajc,238
Atlanta_Online,politics.blog.ajc.com,bluestein,42
Baltimore0nline,www.baltimoresun.com,baltimoresun,2442
Baltimore0nline,baltimore.cbslocal.com,wjz,2149
Baltimore0nline,www.wbaltv.com,wbaltv11,1935
Baltimore0nline,bsun.md,baltimoresun,1543
Baltimore0nline,www.huffingtonpost.com,HuffPost,73
OaklandOnline,bayareane.ws,not found,2461
OaklandOnline,www.ktvu.com,KTVU,238
OaklandOnline,www.sfgate.com,SFGate,219
OaklandOnline,www.theoaklandpress.com,TheOaklandPress,135
OaklandOnline,www.theroot.com,TheRoot,20
StLouisOnline,www.stltoday.com,stltoday,6729
StLouisOnline,www.kmov.com,KMOV,56
StLouisOnline,www.stlamerican.com,StLouisAmerican,40
StLouisOnline,on.ksdk.com,ksdknews,33
StLouisOnline,fox2now.com,FOX2now,19
